date,batch_id,product_name,supplier,customer,quantity_produced,quantity_sold,stock_remaining,expiry_date,waste_quantity,defect_count,temperature,delivery_status,delivery_delay_days,revenue,feedback_text,rating
2026-01-02,BATCH-1030,Spinach,Farm A,Distributor X,1864,1181,683,2026-01-05,95,24,6.0,Delivered,0,5718.44,Packaging was damaged during transport,5
2026-04-07,BATCH-1031,Mixed Salad,Farm A,Restaurant Group,2494,253,2241,2026-04-09,284,13,2.6,Delivered,0,655.26,Poor freshness and damaged packaging,5
2026-02-12,BATCH-1032,Lettuce,Farm A,Restaurant Group,2465,650,1815,2026-02-19,356,22,2.3,Delayed,0,2992.2,Poor freshness and damaged packaging,2
2026-04-10,BATCH-1033,Rucola,Farm D,Supermarket A,2689,1731,958,2026-04-16,3,15,2.4,Delivered,1,2757.12,Poor freshness and damaged packaging,4
2026-03-10,BATCH-1034,Rucola,Farm A,Distributor X,2627,1668,959,2026-03-14,100,11,4.3,Delivered,3,7787.44,Excellent quality and fast delivery,5
2026-01-04,BATCH-1035,Rucola,Farm B,Supermarket A,953,134,819,2026-01-07,89,33,3.6,Delivered,3,525.97,Excellent quality and fast delivery,5
2026-02-13,BATCH-1036,Lettuce,Farm A,Supermarket A,612,475,137,2026-02-19,35,9,4.5,Delayed,3,1669.97,Delivery was late but product quality was acceptable,4
2026-02-06,BATCH-1037,Baby Leaf,Farm D,Supermarket A,1208,195,1013,2026-02-14,12,22,6.5,Delivered,1,908.49,Poor freshness and damaged packaging,1
2026-02-02,BATCH-1038,Mixed Salad,Farm A,Supermarket A,596,286,310,2026-02-04,18,11,4.1,Delayed,1,1106.45,Poor freshness and damaged packaging,3
2026-01-08,BATCH-1039,Baby Leaf,Farm C,Supermarket A,343,216,127,2026-01-13,20,35,7.7,Delayed,0,409.78,Spoiled leaves and bad smell reported,2
2026-03-02,BATCH-1040,Baby Leaf,Farm C,Distributor X,2645,733,1912,2026-03-08,234,10,2.7,Delayed,0,3053.16,Fresh product and good packaging,5
2026-01-17,BATCH-1041,Baby Leaf,Farm D,Restaurant Group,1742,1297,445,2026-01-19,121,1,2.5,Delivered,1,6424.35,Fresh product and good packaging,4
2026-04-12,BATCH-1042,Rucola,Farm A,Restaurant Group,710,426,284,2026-04-17,30,18,6.7,Delayed,2,1271.52,Very fresh and reliable supplier,3
2026-03-21,BATCH-1043,Spinach,Farm D,Restaurant Group,372,240,132,2026-03-24,19,27,6.6,Delivered,0,985.14,Delivery was late but product quality was acceptable,5
2026-01-27,BATCH-1044,Lettuce,Farm A,Supermarket A,389,290,99,2026-02-05,32,37,4.6,Delayed,3,1427.57,Spoiled leaves and bad smell reported,5
2026-02-13,BATCH-1045,Mixed Salad,Farm D,Supermarket A,1452,1350,102,2026-02-16,46,13,3.8,Delivered,0,5317.97,Delivery was late but product quality was acceptable,1
2026-02-13,BATCH-1046,Lettuce,Farm D,Supermarket A,1235,835,400,2026-02-22,121,27,5.9,Delayed,1,1922.91,Spoiled leaves and bad smell reported,1
2026-01-19,BATCH-1047,Rucola,Farm A,Supermarket A,2146,601,1545,2026-01-25,211,12,6.1,Delivered,0,2817.64,Clean product and satisfied customer,2
2026-01-04,BATCH-1048,Rucola,Farm B,Restaurant Group,455,296,159,2026-01-13,29,4,2.2,Delivered,1,1283.73,Fresh product and good packaging,3
2026-02-03,BATCH-1049,Mixed Salad,Farm C,Supermarket A,262,185,77,2026-02-09,32,33,2.2,Delivered,0,286.35,Packaging was damaged during transport,4
2026-02-07,BATCH-1050,Mixed Salad,Farm A,Distributor X,2956,1768,1188,2026-02-13,52,36,6.5,Delivered,0,4143.83,Good quality but delivery delay,1
2026-03-09,BATCH-1051,Lettuce,Farm B,Supermarket A,884,816,68,2026-03-11,31,33,4.1,Delayed,2,3142.01,Excellent quality and fast delivery,3
2026-03-10,BATCH-1052,Lettuce,Farm A,Restaurant Group,467,153,314,2026-03-17,56,16,2.8,Delivered,2,633.88,Spoiled leaves and bad smell reported,2
2026-02-13,BATCH-1053,Lettuce,Farm B,Restaurant Group,634,202,432,2026-02-16,81,29,5.3,Delivered,2,816.56,Good quality but delivery delay,1
2026-01-31,BATCH-1054,Spinach,Farm C,Supermarket A,1558,1119,439,2026-02-06,28,3,4.8,Delivered,1,4689.97,Poor freshness and damaged packaging,5
2026-03-26,BATCH-1055,Baby Leaf,Farm B,Distributor X,2300,1573,727,2026-03-30,239,10,2.5,Delivered,2,3064.46,Clean product and satisfied customer,4
2026-01-15,BATCH-1056,Mixed Salad,Farm D,Distributor X,1919,380,1539,2026-01-19,92,31,3.0,Delayed,2,624.36,Spoiled leaves and bad smell reported,2
2026-01-27,BATCH-1057,Baby Leaf,Farm B,Supermarket A,881,633,248,2026-02-02,11,25,7.4,Delivered,1,1680.84,Good quality but delivery delay,2
2026-03-13,BATCH-1058,Mixed Salad,Farm C,Supermarket A,1344,313,1031,2026-03-15,25,35,6.8,Delivered,2,671.64,Late delivery and poor product freshness,2
2026-04-01,BATCH-1059,Spinach,Farm B,Distributor X,2325,464,1861,2026-04-10,6,2,7.4,Delayed,2,1560.15,Excellent quality and fast delivery,2
2026-03-22,BATCH-1060,Rucola,Farm C,Supermarket A,2986,2006,980,2026-03-27,201,38,3.9,Delivered,1,5308.36,Good quality but delivery delay,1
2026-04-16,BATCH-1061,Spinach,Farm C,Supermarket A,2272,1703,569,2026-04-22,145,35,5.2,Delayed,2,6997.69,Fresh product and good packaging,4
2026-02-05,BATCH-1062,Lettuce,Farm B,Restaurant Group,2672,1641,1031,2026-02-09,314,5,5.6,Delivered,0,3046.09,Clean product and satisfied customer,4
2026-01-25,BATCH-1063,Rucola,Farm C,Distributor X,2597,1730,867,2026-01-29,30,39,6.2,Delayed,2,8023.98,Poor freshness and damaged packaging,4
2026-02-13,BATCH-1064,Rucola,Farm B,Restaurant Group,203,178,25,2026-02-17,29,1,5.3,Delayed,1,441.43,Spoiled leaves and bad smell reported,2
2026-01-01,BATCH-1065,Rucola,Farm D,Supermarket A,2010,823,1187,2026-01-06,46,0,5.7,Delayed,1,2908.76,Poor freshness and damaged packaging,5
2026-01-12,BATCH-1066,Spinach,Farm D,Restaurant Group,2506,1001,1505,2026-01-18,137,1,3.9,Delayed,3,2393.63,Spoiled leaves and bad smell reported,1
2026-04-12,BATCH-1067,Mixed Salad,Farm B,Distributor X,2194,2043,151,2026-04-14,68,13,7.6,Delivered,0,4530.37,Delivery was late but product quality was acceptable,3
2026-04-28,BATCH-1068,Lettuce,Farm D,Supermarket A,1519,1443,76,2026-05-07,10,36,3.2,Delayed,2,2994.12,Spoiled leaves and bad smell reported,3
2026-02-10,BATCH-1069,Rucola,Farm A,Restaurant Group,2821,231,2590,2026-02-12,401,39,4.7,Delayed,1,1073.88,Clean product and satisfied customer,1
2026-04-06,BATCH-1070,Rucola,Farm A,Supermarket A,774,242,532,2026-04-08,110,1,5.3,Delayed,3,891.73,Delivery was late but product quality was acceptable,3
2026-04-22,BATCH-1071,Lettuce,Farm C,Distributor X,1402,653,749,2026-04-28,32,29,7.4,Delayed,0,1326.15,Fresh product and good packaging,5
2026-01-18,BATCH-1072,Lettuce,Farm B,Restaurant Group,1150,388,762,2026-01-21,4,9,4.1,Delayed,0,732.24,Poor freshness and damaged packaging,5
2026-01-31,BATCH-1073,Lettuce,Farm D,Supermarket A,2262,2194,68,2026-02-03,94,35,5.3,Delivered,2,5945.6,Very fresh and reliable supplier,2
2026-03-14,BATCH-1074,Spinach,Farm A,Restaurant Group,562,495,67,2026-03-17,59,11,2.6,Delayed,3,2111.32,Spoiled leaves and bad smell reported,2
2026-01-06,BATCH-1075,Rucola,Farm B,Distributor X,803,477,326,2026-01-12,77,39,7.0,Delivered,2,920.53,Spoiled leaves and bad smell reported,5
2026-01-29,BATCH-1076,Rucola,Farm A,Distributor X,1845,519,1326,2026-02-05,54,39,5.6,Delivered,0,2130.43,Very fresh and reliable supplier,4
2026-03-03,BATCH-1077,Rucola,Farm C,Distributor X,316,253,63,2026-03-08,24,25,7.5,Delayed,2,686.73,Excellent quality and fast delivery,3
2026-04-12,BATCH-1078,Mixed Salad,Farm D,Distributor X,2887,1038,1849,2026-04-16,181,23,5.5,Delayed,1,1680.08,Fresh product and good packaging,1
2026-03-31,BATCH-1079,Spinach,Farm D,Restaurant Group,262,249,13,2026-04-06,6,16,7.8,Delivered,3,734.84,Late delivery and poor product freshness,1
2026-02-17,BATCH-1080,Baby Leaf,Farm B,Distributor X,1992,1859,133,2026-02-21,210,31,4.8,Delivered,0,5246.17,Late delivery and poor product freshness,3
2026-04-11,BATCH-1081,Mixed Salad,Farm C,Restaurant Group,968,689,279,2026-04-14,112,29,5.4,Delivered,3,1472.22,Packaging was damaged during transport,3
2026-03-28,BATCH-1082,Mixed Salad,Farm B,Restaurant Group,977,557,420,2026-04-02,86,27,7.0,Delivered,0,1630.87,Good quality but delivery delay,3
2026-01-31,BATCH-1083,Baby Leaf,Farm D,Restaurant Group,2206,1890,316,2026-02-02,238,36,3.1,Delivered,3,4410.58,Excellent quality and fast delivery,3
2026-01-23,BATCH-1084,Mixed Salad,Farm D,Supermarket A,1311,1201,110,2026-01-30,141,30,3.9,Delayed,2,4463.33,Fresh product and good packaging,5
2026-04-10,BATCH-1085,Baby Leaf,Farm D,Restaurant Group,1114,647,467,2026-04-13,128,4,4.1,Delayed,2,1830.31,Packaging was damaged during transport,4
2026-04-09,BATCH-1086,Rucola,Farm B,Supermarket A,2508,904,1604,2026-04-14,354,21,6.7,Delivered,1,3146.12,Packaging was damaged during transport,1
2026-01-05,BATCH-1087,Spinach,Farm A,Supermarket A,2773,620,2153,2026-01-13,200,21,7.0,Delayed,1,2070.75,Excellent quality and fast delivery,5
2026-02-13,BATCH-1088,Lettuce,Farm A,Restaurant Group,2375,2189,186,2026-02-16,16,36,5.9,Delayed,3,4865.0,Very fresh and reliable supplier,5
2026-04-02,BATCH-1089,Spinach,Farm D,Supermarket A,845,830,15,2026-04-04,52,6,5.4,Delivered,1,2419.73,Very fresh and reliable supplier,2
2026-03-06,BATCH-1090,Baby Leaf,Farm D,Distributor X,1586,918,668,2026-03-09,28,20,7.0,Delivered,3,4318.55,Packaging was damaged during transport,3
2026-03-06,BATCH-1091,Baby Leaf,Farm D,Supermarket A,297,154,143,2026-03-09,35,19,3.0,Delayed,2,687.21,Excellent quality and fast delivery,1
2026-04-03,BATCH-1092,Rucola,Farm D,Supermarket A,1724,172,1552,2026-04-05,216,39,4.6,Delivered,2,751.1,Spoiled leaves and bad smell reported,4
2026-03-16,BATCH-1093,Spinach,Farm D,Distributor X,1658,1601,57,2026-03-22,43,16,7.7,Delivered,0,3438.89,Late delivery and poor product freshness,3
2026-04-21,BATCH-1094,Baby Leaf,Farm B,Restaurant Group,2908,1850,1058,2026-04-30,24,17,4.9,Delivered,2,9170.15,Very fresh and reliable supplier,2
2026-04-13,BATCH-1095,Spinach,Farm A,Restaurant Group,910,500,410,2026-04-16,134,13,2.7,Delivered,0,1087.05,Late delivery and poor product freshness,2
2026-03-01,BATCH-1096,Spinach,Farm C,Restaurant Group,926,576,350,2026-03-06,102,16,5.9,Delayed,2,1994.33,Excellent quality and fast delivery,3
2026-03-23,BATCH-1097,Spinach,Farm C,Distributor X,1394,1035,359,2026-03-28,38,14,6.8,Delayed,0,3949.35,Excellent quality and fast delivery,1
2026-04-13,BATCH-1098,Lettuce,Farm B,Restaurant Group,692,525,167,2026-04-21,98,33,2.1,Delivered,0,1759.42,Delivery was late but product quality was acceptable,3
2026-03-21,BATCH-1099,Rucola,Farm A,Restaurant Group,1013,128,885,2026-03-27,15,9,2.6,Delivered,2,426.09,Fresh product and good packaging,1
2026-04-26,BATCH-1100,Spinach,Farm D,Restaurant Group,1365,475,890,2026-05-03,36,24,3.7,Delivered,1,787.48,Fresh product and good packaging,1
2026-01-31,BATCH-1101,Spinach,Farm A,Supermarket A,1163,286,877,2026-02-06,170,5,7.9,Delivered,1,1030.4,Excellent quality and fast delivery,1
2026-02-17,BATCH-1102,Mixed Salad,Farm D,Supermarket A,2811,871,1940,2026-02-25,309,9,2.3,Delivered,1,1418.48,Very fresh and reliable supplier,3
2025-12-30,BATCH-1103,Rucola,Farm A,Distributor X,1996,153,1843,2026-01-04,240,34,6.5,Delayed,0,311.91,Delivery was late but product quality was acceptable,5
2025-12-30,BATCH-1104,Rucola,Farm D,Restaurant Group,1092,188,904,2026-01-05,97,10,7.3,Delivered,2,367.22,Good quality but delivery delay,3
2026-04-04,BATCH-1105,Spinach,Farm A,Distributor X,2985,1455,1530,2026-04-13,24,4,6.4,Delayed,3,3469.12,Clean product and satisfied customer,3
2026-04-24,BATCH-1106,Baby Leaf,Farm D,Supermarket A,1399,1013,386,2026-04-29,196,12,7.1,Delayed,0,3223.42,Delivery was late but product quality was acceptable,2
2026-02-21,BATCH-1107,Spinach,Farm D,Distributor X,1791,1163,628,2026-02-27,236,32,7.3,Delivered,3,4424.73,Fresh product and good packaging,3
2026-03-01,BATCH-1108,Mixed Salad,Farm A,Supermarket A,1904,880,1024,2026-03-07,169,35,5.7,Delayed,3,1808.5,Very fresh and reliable supplier,1
2026-01-04,BATCH-1109,Spinach,Farm B,Distributor X,1254,634,620,2026-01-10,157,38,3.0,Delayed,1,2797.51,Packaging was damaged during transport,2
2026-01-23,BATCH-1110,Mixed Salad,Farm A,Supermarket A,1748,1169,579,2026-01-25,222,33,5.8,Delayed,0,4944.24,Clean product and satisfied customer,3
2026-03-30,BATCH-1111,Spinach,Farm C,Distributor X,785,332,453,2026-04-06,36,28,6.7,Delayed,3,1393.73,Poor freshness and damaged packaging,3
2026-02-24,BATCH-1112,Rucola,Farm B,Restaurant Group,1240,623,617,2026-02-26,21,25,2.4,Delayed,1,3093.52,Poor freshness and damaged packaging,3
2026-01-20,BATCH-1113,Lettuce,Farm C,Supermarket A,1147,480,667,2026-01-24,32,5,4.2,Delayed,2,1144.21,Packaging was damaged during transport,2
2026-01-21,BATCH-1114,Baby Leaf,Farm D,Supermarket A,1653,837,816,2026-01-25,140,38,5.2,Delivered,0,2129.59,Excellent quality and fast delivery,4
2026-04-07,BATCH-1115,Lettuce,Farm D,Supermarket A,1762,948,814,2026-04-13,83,5,6.6,Delivered,2,2457.06,Very fresh and reliable supplier,4
2026-03-22,BATCH-1116,Rucola,Farm A,Restaurant Group,2180,1955,225,2026-03-30,207,26,7.8,Delayed,0,8876.05,Spoiled leaves and bad smell reported,3
2026-03-14,BATCH-1117,Lettuce,Farm A,Restaurant Group,2235,448,1787,2026-03-18,45,14,4.9,Delayed,2,868.29,Poor freshness and damaged packaging,4
2026-04-20,BATCH-1118,Lettuce,Farm C,Restaurant Group,1901,1116,785,2026-04-27,116,1,6.8,Delivered,3,3452.09,Late delivery and poor product freshness,5
2026-04-11,BATCH-1119,Spinach,Farm B,Distributor X,2213,1443,770,2026-04-19,165,31,5.9,Delivered,0,6975.85,Good quality but delivery delay,3
2026-02-02,BATCH-1120,Lettuce,Farm A,Restaurant Group,1311,500,811,2026-02-11,79,21,3.3,Delivered,1,2107.66,Excellent quality and fast delivery,4
2026-01-22,BATCH-1121,Rucola,Farm A,Supermarket A,201,196,5,2026-01-29,0,12,2.5,Delayed,2,385.04,Packaging was damaged during transport,2
2026-03-14,BATCH-1122,Spinach,Farm B,Distributor X,2369,242,2127,2026-03-19,304,39,5.8,Delivered,2,389.75,Clean product and satisfied customer,1
2026-01-16,BATCH-1123,Rucola,Farm B,Restaurant Group,2470,1539,931,2026-01-21,317,19,4.0,Delivered,2,2740.04,Poor freshness and damaged packaging,4
2026-04-23,BATCH-1124,Mixed Salad,Farm C,Supermarket A,221,125,96,2026-04-28,13,10,6.3,Delayed,2,472.0,Good quality but delivery delay,5
2026-01-04,BATCH-1125,Lettuce,Farm A,Supermarket A,2369,849,1520,2026-01-12,308,31,5.0,Delayed,1,3410.61,Clean product and satisfied customer,5
2026-01-23,BATCH-1126,Mixed Salad,Farm C,Restaurant Group,511,460,51,2026-01-27,34,28,4.5,Delivered,0,2043.13,Fresh product and good packaging,5
2026-03-29,BATCH-1127,Lettuce,Farm A,Restaurant Group,2177,1056,1121,2026-04-03,151,31,5.5,Delayed,0,3045.82,Poor freshness and damaged packaging,2
2026-02-09,BATCH-1128,Spinach,Farm C,Distributor X,1641,1031,610,2026-02-12,245,11,4.3,Delayed,3,4563.2,Fresh product and good packaging,3
2026-04-03,BATCH-1129,Spinach,Farm D,Restaurant Group,2347,577,1770,2026-04-10,1,36,7.1,Delivered,0,1364.78,Late delivery and poor product freshness,1
2026-02-04,BATCH-1130,Rucola,Farm C,Supermarket A,329,169,160,2026-02-06,27,1,7.1,Delivered,2,601.55,Late delivery and poor product freshness,4
2026-03-15,BATCH-1131,Spinach,Farm A,Restaurant Group,2534,729,1805,2026-03-20,349,0,4.7,Delayed,2,3513.81,Good quality but delivery delay,4
2026-04-01,BATCH-1132,Lettuce,Farm A,Supermarket A,2156,2120,36,2026-04-03,119,27,7.2,Delayed,3,7186.1,Poor freshness and damaged packaging,2
2026-02-10,BATCH-1133,Baby Leaf,Farm D,Restaurant Group,1168,610,558,2026-02-16,0,34,4.7,Delivered,2,1589.99,Fresh product and good packaging,3
2026-02-10,BATCH-1134,Lettuce,Farm A,Restaurant Group,1235,589,646,2026-02-19,42,33,3.9,Delivered,0,2079.4,Late delivery and poor product freshness,3
2026-03-10,BATCH-1135,Lettuce,Farm C,Restaurant Group,1118,527,591,2026-03-16,51,15,7.6,Delayed,2,1090.01,Spoiled leaves and bad smell reported,1
2025-12-31,BATCH-1136,Baby Leaf,Farm C,Restaurant Group,1999,768,1231,2026-01-08,289,0,7.0,Delayed,2,2988.57,Excellent quality and fast delivery,2
2026-04-12,BATCH-1137,Rucola,Farm D,Distributor X,502,331,171,2026-04-21,45,3,6.1,Delivered,2,1259.82,Spoiled leaves and bad smell reported,5
2026-01-14,BATCH-1138,Rucola,Farm A,Supermarket A,1209,803,406,2026-01-16,175,12,6.7,Delivered,2,3279.91,Poor freshness and damaged packaging,2
2026-01-17,BATCH-1139,Spinach,Farm B,Supermarket A,693,118,575,2026-01-19,22,18,7.2,Delivered,3,299.61,Packaging was damaged during transport,1
2026-02-03,BATCH-1140,Baby Leaf,Farm C,Supermarket A,910,242,668,2026-02-05,48,31,4.2,Delayed,1,425.0,Delivery was late but product quality was acceptable,2
2026-02-22,BATCH-1141,Spinach,Farm D,Restaurant Group,1226,184,1042,2026-03-01,155,28,4.0,Delayed,0,532.84,Spoiled leaves and bad smell reported,4
2026-01-19,BATCH-1142,Spinach,Farm D,Distributor X,242,186,56,2026-01-23,20,22,4.6,Delayed,2,325.4,Good quality but delivery delay,4
2026-02-13,BATCH-1143,Lettuce,Farm A,Supermarket A,250,114,136,2026-02-20,18,33,3.0,Delayed,3,379.71,Delivery was late but product quality was acceptable,2
2026-03-24,BATCH-1144,Spinach,Farm A,Supermarket A,2917,1781,1136,2026-03-29,89,24,5.1,Delivered,2,8028.67,Packaging was damaged during transport,5
2026-03-29,BATCH-1145,Spinach,Farm D,Restaurant Group,2559,544,2015,2026-04-06,309,0,4.2,Delivered,1,1029.83,Packaging was damaged during transport,5
2026-02-02,BATCH-1146,Rucola,Farm C,Restaurant Group,1443,1149,294,2026-02-11,121,7,6.6,Delivered,1,2751.58,Poor freshness and damaged packaging,2
2026-04-05,BATCH-1147,Mixed Salad,Farm D,Restaurant Group,2778,245,2533,2026-04-07,241,4,3.0,Delivered,3,1107.35,Packaging was damaged during transport,5
2026-02-07,BATCH-1148,Baby Leaf,Farm C,Distributor X,861,531,330,2026-02-12,10,9,3.5,Delivered,0,905.14,Good quality but delivery delay,2
2026-02-24,BATCH-1149,Baby Leaf,Farm B,Distributor X,2026,362,1664,2026-02-27,124,38,6.3,Delivered,2,975.16,Delivery was late but product quality was acceptable,4
2026-01-29,BATCH-1150,Baby Leaf,Farm B,Supermarket A,1325,653,672,2026-01-31,163,2,4.4,Delivered,2,1764.71,Packaging was damaged during transport,4
2026-04-16,BATCH-1151,Baby Leaf,Farm D,Distributor X,2808,1055,1753,2026-04-25,148,7,7.3,Delayed,2,3550.45,Very fresh and reliable supplier,3
2026-02-02,BATCH-1152,Lettuce,Farm B,Restaurant Group,1353,826,527,2026-02-04,34,33,4.7,Delayed,3,2917.15,Very fresh and reliable supplier,4
2026-02-19,BATCH-1153,Rucola,Farm C,Restaurant Group,2068,1600,468,2026-02-26,157,15,2.0,Delayed,3,7894.92,Delivery was late but product quality was acceptable,5
2026-04-06,BATCH-1154,Baby Leaf,Farm D,Supermarket A,547,214,333,2026-04-08,29,20,2.6,Delayed,1,911.14,Fresh product and good packaging,5
2026-04-13,BATCH-1155,Spinach,Farm A,Restaurant Group,2707,1623,1084,2026-04-18,150,1,4.3,Delayed,2,3792.45,Fresh product and good packaging,3
2026-02-21,BATCH-1156,Spinach,Farm C,Restaurant Group,1403,1319,84,2026-02-25,149,14,8.0,Delivered,3,2941.09,Fresh product and good packaging,2
2026-03-22,BATCH-1157,Mixed Salad,Farm B,Restaurant Group,793,528,265,2026-03-29,77,5,2.8,Delivered,3,2305.02,Spoiled leaves and bad smell reported,3
2026-02-22,BATCH-1158,Spinach,Farm B,Restaurant Group,329,262,67,2026-03-03,9,24,5.5,Delivered,1,680.69,Fresh product and good packaging,5
2026-03-08,BATCH-1159,Rucola,Farm A,Supermarket A,2730,2060,670,2026-03-11,391,20,2.2,Delivered,2,10034.06,Poor freshness and damaged packaging,2
2026-01-26,BATCH-1160,Baby Leaf,Farm C,Restaurant Group,2051,546,1505,2026-01-29,59,22,2.9,Delivered,0,2311.04,Very fresh and reliable supplier,1
2026-04-27,BATCH-1161,Baby Leaf,Farm C,Distributor X,2629,789,1840,2026-04-29,82,8,2.9,Delivered,3,2020.99,Delivery was late but product quality was acceptable,4
2026-01-22,BATCH-1162,Rucola,Farm A,Distributor X,1995,1738,257,2026-01-27,220,35,5.2,Delivered,1,3402.11,Poor freshness and damaged packaging,5
2026-01-20,BATCH-1163,Lettuce,Farm B,Restaurant Group,2766,2302,464,2026-01-28,228,21,7.8,Delivered,1,4531.06,Spoiled leaves and bad smell reported,5
2026-04-19,BATCH-1164,Baby Leaf,Farm A,Supermarket A,2111,1546,565,2026-04-25,241,20,3.2,Delivered,0,2549.69,Fresh product and good packaging,3
2026-01-06,BATCH-1165,Baby Leaf,Farm D,Distributor X,899,494,405,2026-01-12,25,3,7.2,Delayed,3,1867.81,Delivery was late but product quality was acceptable,1
2026-01-26,BATCH-1166,Spinach,Farm A,Restaurant Group,1659,1545,114,2026-02-01,112,16,6.0,Delivered,0,6691.54,Fresh product and good packaging,2
